#12:00:00,"0","1",
0,0.0,0.3
1,0.1,0.3
2,0.2,0.3
3,0.3,0.3
4,0.4,0.4
5,0.5,0.4
6,0.6,0.4
7,0.7,0.4
8,0.8,0.5
9,0.9,0.5
10,0.95,0.5
11,0.95,0.5
12,0.95,0.6
13,0.95,0.6
14,0.95,0.6
15,0.95,0.6
16,0.95,0.7
17,0.95,0.7
18,0.95,0.7
19,0.95,0.7
20,0.95,0.8
21,0.9,0.8
22,0.8,0.8
23,0.7,0.8
24,0.6,0.9
25,0.5,0.9
26,0.4,0.9
27,0.3,0.9
28,0.2,0.8
29,0.1,0.8
30,0.0,0.8
31,0.1,0.8
32,0.2,0.7
33,0.3,0.7
34,0.4,0.7
35,0.5,0.7
36,0.6,0.6
37,0.7,0.6
38,0.8,0.6
39,0.9,0.6
40,0.95,0.5
41,0.95,0.5
42,0.95,0.5
43,0.95,0.5
44,0.95,0.4
45,0.95,0.4
46,0.95,0.4
47,0.95,0.4
48,0.95,0.3
49,0.95,0.3
50,0.95,0.3
51,0.9,0.3
52,0.8,0.2
53,0.7,0.2
54,0.6,0.2
55,0.5,0.2
56,0.4,0.1
57,0.3,0.1
58,0.2,0.1
59,0.1,0.1
60,0.0,0.0
61,0.1,0.0
62,0.2,0.0
63,0.3,0.0
64,0.4,0.1
65,0.5,0.1
66,0.6,0.1
67,0.7,0.1
68,0.8,0.2
69,0.9,0.2
70,0.95,0.2
71,0.95,0.2
72,0.95,0.3
73,0.95,0.3
74,0.95,0.3
75,0.95,0.3
76,0.95,0.4
77,0.95,0.4
78,0.95,0.4
79,0.95,0.4
80,0.95,0.5
81,0.9,0.5
82,0.8,0.5
83,0.7,0.5
84,0.6,0.6
85,0.5,0.6
86,0.4,0.6
87,0.3,0.6
88,0.2,0.7
89,0.1,0.7
90,0.0,0.7
91,0.1,0.7
92,0.2,0.8
93,0.3,0.8
94,0.4,0.8
95,0.5,0.8
96,0.6,0.9
97,0.7,0.9
98,0.8,0.9
99,0.9,0.9
100,0.95,0.95
101,0.95,0.95
102,0.95,0.95
103,0.95,0.95
104,0.95,0.9
105,0.95,0.9
106,0.95,0.9
107,0.95,0.9
108,0.95,0.8
109,0.95,0.8
110,0.95,0.8
111,0.9,0.8
112,0.8,0.7
113,0.7,0.7
114,0.6,0.7
115,0.5,0.7
116,0.4,0.6
117,0.3,0.6
118,0.2,0.6
119,0.1,0.6
