0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,9
22,8
23,7
24,6
25,5
26,4
27,3
28,2
29,1
30,0
31,1
32,2
33,3
34,4
35,5
36,6
37,7
38,8
39,9
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,9
52,8
53,7
54,6
55,5
56,4
57,3
58,2
59,1
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,8
69,9
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,9
82,8
83,7
84,6
85,5
86,4
87,3
88,2
89,1
90,0
91,1
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,9
112,8
113,7
114,6
115,5
116,4
117,3
118,2
119,1
